order_id,arrival_time,weather,traffic_index,rider_density,cart_items,structural_time_sec,customization_delta_sec,prep_complete_time,rider_arrival_time,dwell_time_sec,inferred_true_prep_time_sec
16,0,Clear,0.75,Medium,1,250,0,250,698.66,448.66,250
9,0,Rain,0.65,High,1,472,0,472,899.39,427.39,472
7,0,Rain,0.66,High,1,541,0,541,971.15,430.15,541
19,0,Rain,0.5,Medium,1,606,32,638,974.1,336.1,638
33,0,Fog,0.66,Low,1,844,13,857,1300.76,443.76,857
13,0,Smog,0.98,High,1,968,0,968,1568.65,600.65,968
4,0,Clear,0.43,High,1,1076,0,1076,1335.95,259.95,1076
50,0,Clear,0.91,High,1,1808,54,1862,2406.44,544.44,1862
110,0,Rain,0.74,Medium,1,1944,29,1973,2451.51,478.51,1973
31,0,Heatwave,0.73,Low,1,2078,20,2098,2557.71,459.71,2098
56,0,Clear,0.57,High,1,2224,57,2281,2623.33,342.33,2281
34,0,Heatwave,0.91,Low,1,2456,0,2456,3025.55,569.55,2456
171,0,Clear,0.6,Medium,1,2657,0,2657,3016.43,359.43,2657
89,0,Clear,0.56,High,1,2628,52,2680,3017.52,337.52,2680
68,0,Clear,0.46,Low,1,2673,16,2689,2965.68,276.68,2689
104,0,Heatwave,0.91,High,1,2929,42,2971,3535.22,564.22,2971
36,0,Clear,0.38,Low,1,2996,0,2996,3224.75,228.75,2996
178,0,Clear,0.52,High,1,3005,56,3061,3375.93,314.93,3061
44,0,Fog,0.68,Medium,1,3134,65,3199,3652.7,453.7,3199
48,0,Smog,0.67,High,1,3318,37,3355,3774.12,419.12,3355
119,0,Fog,0.36,High,1,3437,42,3479,3739.49,260.49,3479
98,0,Clear,0.69,High,1,3504,0,3504,3918.55,414.55,3504
120,0,Smog,0.97,Medium,1,3524,53,3577,4175.57,598.57,3577
194,0,Heatwave,0.42,Low,1,3698,0,3698,3973.88,275.88,3698
59,0,Fog,0.85,Medium,1,3958,0,3958,4510.24,552.24,3958
210,0,Rain,0.69,High,1,4103,53,4156,4608.61,452.61,4156
142,0,Smog,0.35,Medium,1,4195,0,4195,4419.54,224.54,4195
152,0,Fog,0.54,Medium,1,4462,18,4480,4849.75,369.75,4480
222,0,Clear,0.37,Medium,1,4666,0,4666,4889.46,223.46,4666
163,0,Smog,0.41,High,1,4649,27,4676,4934.46,258.46,4676
