merchant_id,zone,tandoor_units,deep_fry_units,steamer_units,grill_units,assembly_units,historical_speed_index
NCR_M001,Noida Sector 18,3,1,1,1,5,1.06
NCR_M002,Noida Sector 18,3,2,1,1,4,0.98
NCR_M003,Dwarka,1,3,2,1,3,1.13
NCR_M004,Faridabad,2,2,2,2,5,0.81
NCR_M005,Noida Sector 18,2,2,1,2,2,0.87
NCR_M006,Dwarka,3,3,2,2,5,1.28
NCR_M007,Lajpat Nagar,3,2,2,1,3,0.82
NCR_M008,Connaught Place,3,1,1,1,4,1.11
NCR_M009,Dwarka,1,3,2,2,2,1.28
NCR_M010,Saket,2,2,1,2,2,0.84
NCR_M011,Lajpat Nagar,3,3,2,1,5,0.72
NCR_M012,Gurgaon CyberHub,2,1,2,2,5,1.15
NCR_M013,Gurgaon CyberHub,2,2,2,2,5,0.81
NCR_M014,Saket,3,2,2,2,3,0.94
NCR_M015,Lajpat Nagar,2,3,2,1,5,1.04
NCR_M016,Gurgaon CyberHub,1,2,2,1,5,1.15
NCR_M017,Faridabad,3,1,2,2,2,0.87
NCR_M018,Noida Sector 18,1,1,1,1,2,0.74
NCR_M019,Connaught Place,3,1,2,1,5,0.88
NCR_M020,Noida Sector 18,3,3,1,1,5,1.14
NCR_M021,Rohini,1,3,1,2,4,1.09
NCR_M022,Lajpat Nagar,3,1,2,2,3,0.76
NCR_M023,Dwarka,3,3,2,2,2,1.14
NCR_M024,Connaught Place,2,3,1,1,4,0.77
NCR_M025,Dwarka,2,3,1,1,3,0.84
NCR_M026,Noida Sector 18,2,3,1,1,4,0.96
NCR_M027,Faridabad,2,1,1,1,5,1.08
NCR_M028,Faridabad,1,2,1,1,4,0.95
NCR_M029,Lajpat Nagar,3,1,2,1,5,1.06
NCR_M030,Faridabad,3,2,2,2,3,1.18
NCR_M031,Saket,1,1,2,2,5,0.83
NCR_M032,Gurgaon CyberHub,2,2,1,2,3,0.77
NCR_M033,Dwarka,1,3,2,1,2,0.84
NCR_M034,Dwarka,2,1,2,1,2,0.88
NCR_M035,Noida Sector 18,2,3,1,2,2,1.12
NCR_M036,Saket,2,3,1,2,5,1.01
NCR_M037,Dwarka,1,1,2,1,3,1.28
NCR_M038,Lajpat Nagar,2,3,2,1,2,0.79
NCR_M039,Faridabad,1,3,1,2,3,0.95
NCR_M040,Noida Sector 18,3,1,2,1,2,0.84
NCR_M041,Faridabad,2,1,2,2,5,1.03
NCR_M042,Lajpat Nagar,3,3,1,2,4,0.85
NCR_M043,Connaught Place,2,1,2,2,3,0.94
NCR_M044,Rohini,3,1,1,2,4,0.81
NCR_M045,Saket,1,3,2,2,4,0.83
NCR_M046,Faridabad,2,3,1,1,5,1.09
NCR_M047,Connaught Place,1,1,2,2,4,1.26
NCR_M048,Faridabad,1,3,2,1,2,0.83
NCR_M049,Faridabad,3,2,2,1,4,1.1
NCR_M050,Saket,2,1,2,2,2,0.85
NCR_M051,Rohini,2,1,1,2,4,0.81
NCR_M052,Lajpat Nagar,1,3,1,2,5,1.24
NCR_M053,Rohini,2,1,2,2,4,1.26
NCR_M054,Gurgaon CyberHub,2,2,1,2,3,1.26
NCR_M055,Gurgaon CyberHub,1,1,2,2,3,1.03
NCR_M056,Rohini,2,3,2,1,2,0.81
NCR_M057,Faridabad,1,2,1,2,5,0.92
NCR_M058,Gurgaon CyberHub,3,3,1,2,2,1.03
NCR_M059,Lajpat Nagar,3,3,2,1,3,0.85
NCR_M060,Dwarka,2,2,1,1,3,1.24
NCR_M061,Faridabad,3,2,1,2,2,1.05
NCR_M062,Gurgaon CyberHub,1,1,2,1,5,0.87
NCR_M063,Connaught Place,3,1,2,1,5,1.26
NCR_M064,Dwarka,1,2,1,2,4,1.15
NCR_M065,Dwarka,1,1,1,2,2,1.04
NCR_M066,Lajpat Nagar,1,3,1,1,5,1.21
NCR_M067,Rohini,3,2,1,2,4,1.21
NCR_M068,Rohini,3,2,2,2,5,1.1
NCR_M069,Connaught Place,3,2,1,1,3,1.23
NCR_M070,Faridabad,1,1,1,1,3,0.92
NCR_M071,Dwarka,1,2,1,2,4,0.85
NCR_M072,Connaught Place,1,2,1,1,5,1.18
NCR_M073,Gurgaon CyberHub,1,2,2,2,5,1.23
NCR_M074,Rohini,3,2,2,2,4,1.1
NCR_M075,Dwarka,3,1,2,1,3,0.87
NCR_M076,Dwarka,2,2,2,1,5,0.72
NCR_M077,Dwarka,3,2,1,2,2,1.01
NCR_M078,Dwarka,1,1,1,2,3,0.73
NCR_M079,Dwarka,2,3,1,1,5,1.14
NCR_M080,Gurgaon CyberHub,1,2,2,2,3,0.72
NCR_M081,Faridabad,3,3,2,2,4,0.85
NCR_M082,Lajpat Nagar,2,1,2,1,4,1.12
NCR_M083,Noida Sector 18,1,1,2,2,2,0.97
NCR_M084,Dwarka,2,2,2,1,5,1.26
NCR_M085,Lajpat Nagar,1,1,1,2,4,0.96
NCR_M086,Faridabad,1,3,1,2,3,0.91
NCR_M087,Connaught Place,1,2,1,1,3,0.76
NCR_M088,Dwarka,3,1,2,2,3,1.12
NCR_M089,Dwarka,2,2,2,1,4,0.91
NCR_M090,Gurgaon CyberHub,2,2,1,1,3,1.07
NCR_M091,Lajpat Nagar,1,2,2,1,3,1.08
NCR_M092,Saket,2,1,2,1,2,0.8
NCR_M093,Lajpat Nagar,3,2,1,2,5,1.08
NCR_M094,Noida Sector 18,2,3,2,1,2,1.19
NCR_M095,Saket,3,1,2,1,2,1.28
NCR_M096,Saket,2,3,2,1,2,0.83
NCR_M097,Connaught Place,2,2,1,1,3,1.11
NCR_M098,Saket,1,2,2,1,3,1.11
NCR_M099,Faridabad,2,2,1,1,4,0.77
NCR_M100,Connaught Place,1,2,1,1,2,0.72
NCR_M101,Saket,1,1,1,1,5,0.81
NCR_M102,Rohini,1,3,1,1,5,0.78
NCR_M103,Saket,1,3,2,2,4,1.26
NCR_M104,Connaught Place,1,1,1,1,4,1.15
NCR_M105,Gurgaon CyberHub,1,2,1,1,3,1.0
NCR_M106,Saket,1,2,1,1,4,0.93
NCR_M107,Dwarka,1,1,1,2,2,0.89
NCR_M108,Dwarka,2,3,2,2,4,1.0
NCR_M109,Dwarka,1,1,1,2,2,1.03
NCR_M110,Connaught Place,1,1,1,2,2,0.77
NCR_M111,Rohini,1,2,2,1,3,1.03
NCR_M112,Noida Sector 18,1,3,1,1,4,1.12
NCR_M113,Dwarka,3,1,2,2,5,1.22
NCR_M114,Faridabad,2,3,2,1,5,0.74
NCR_M115,Rohini,2,3,2,2,2,1.01
NCR_M116,Lajpat Nagar,2,3,2,2,2,0.92
NCR_M117,Faridabad,1,3,1,1,2,1.15
NCR_M118,Dwarka,2,3,1,1,5,1.04
NCR_M119,Noida Sector 18,3,2,2,1,4,0.96
NCR_M120,Connaught Place,1,1,2,2,3,0.73
NCR_M121,Faridabad,1,3,1,1,2,1.11
NCR_M122,Dwarka,2,1,1,2,2,0.75
NCR_M123,Noida Sector 18,1,2,1,2,3,0.71
NCR_M124,Faridabad,1,1,1,1,5,1.02
NCR_M125,Dwarka,3,1,2,1,4,1.28
NCR_M126,Dwarka,2,3,1,1,3,0.88
NCR_M127,Gurgaon CyberHub,1,1,2,2,4,1.24
NCR_M128,Dwarka,1,3,2,2,5,0.73
NCR_M129,Dwarka,2,1,2,2,5,1.09
NCR_M130,Noida Sector 18,2,2,2,2,2,1.28
NCR_M131,Lajpat Nagar,3,2,1,1,2,0.89
NCR_M132,Connaught Place,1,1,1,2,4,1.19
NCR_M133,Connaught Place,2,3,2,1,4,1.25
NCR_M134,Lajpat Nagar,2,2,2,1,2,0.8
NCR_M135,Connaught Place,1,2,1,2,5,1.29
NCR_M136,Saket,3,1,2,1,2,1.28
NCR_M137,Saket,3,1,1,1,3,0.72
NCR_M138,Connaught Place,3,1,1,2,4,1.22
NCR_M139,Noida Sector 18,1,1,1,1,3,1.25
NCR_M140,Gurgaon CyberHub,3,1,1,1,3,1.21
NCR_M141,Faridabad,1,1,2,1,3,0.85
NCR_M142,Saket,1,1,2,2,2,1.1
NCR_M143,Dwarka,2,3,2,1,3,1.0
NCR_M144,Connaught Place,2,2,1,1,3,1.21
NCR_M145,Rohini,2,1,2,2,4,0.94
NCR_M146,Connaught Place,3,3,1,1,2,1.07
NCR_M147,Noida Sector 18,2,3,1,1,3,1.07
NCR_M148,Lajpat Nagar,2,2,2,2,3,0.94
NCR_M149,Rohini,3,3,1,2,5,1.03
NCR_M150,Rohini,1,3,2,2,4,1.01
NCR_M151,Gurgaon CyberHub,1,1,1,2,3,1.26
NCR_M152,Gurgaon CyberHub,2,1,2,2,5,0.73
NCR_M153,Lajpat Nagar,2,1,2,1,3,1.08
NCR_M154,Dwarka,3,3,1,1,4,0.78
NCR_M155,Rohini,3,3,2,2,5,0.81
NCR_M156,Noida Sector 18,1,3,2,1,4,1.1
NCR_M157,Faridabad,2,1,2,1,4,1.19
