order_id,merchant_id,zone,cart_items,structural_minimum_time_sec,historical_speed_index
16,NCR_M15796,Connaught Place,1,522.16,1.07
9,NCR_M861,Connaught Place,1,434.31,0.93
7,NCR_M76821,Saket,1,510.84,1.29
19,NCR_M54887,Saket,1,274.17,1.11
33,NCR_M6266,Noida Sector 18,1,318.23,1.21
13,NCR_M82387,Noida Sector 18,1,285.64,0.74
4,NCR_M37195,Lajpat Nagar,1,351.75,0.75
50,NCR_M87499,Noida Sector 18,1,177.1,1.1
110,NCR_M44132,Dwarka,1,557.76,1.12
31,NCR_M60264,Dwarka,1,132.44,0.77
56,NCR_M16024,Faridabad,1,473.6,1.28
34,NCR_M41091,Gurgaon CyberHub,1,298.48,0.82
171,NCR_M67222,Gurgaon CyberHub,1,533.92,0.94
89,NCR_M64821,Noida Sector 18,1,410.13,0.93
68,NCR_M770,Rohini,1,263.72,0.76
104,NCR_M59736,Lajpat Nagar,1,241.02,1.03
36,NCR_M62956,Lajpat Nagar,1,103.02,1.02
178,NCR_M64926,Saket,1,165.6,1.2
44,NCR_M67970,Gurgaon CyberHub,1,630.7,1.19
48,NCR_M5312,Noida Sector 18,1,175.26,1.27
119,NCR_M83105,Lajpat Nagar,1,155.54,0.77
98,NCR_M53708,Noida Sector 18,1,68.0,0.85
120,NCR_M85306,Gurgaon CyberHub,1,411.3,0.9
194,NCR_M28694,Lajpat Nagar,1,364.87,1.07
59,NCR_M71933,Rohini,1,580.0,1.25
210,NCR_M93017,Dwarka,1,165.12,1.28
142,NCR_M25659,Connaught Place,1,312.66,0.81
152,NCR_M84479,Lajpat Nagar,1,301.92,0.74
222,NCR_M18432,Faridabad,1,396.8,1.24
163,NCR_M2748,Dwarka,1,451.14,1.03
168,NCR_M59151,Connaught Place,1,299.44,0.76
62,NCR_M65726,Lajpat Nagar,1,379.6,1.04
63,NCR_M84655,Saket,1,318.0,1.06
180,NCR_M35774,Connaught Place,1,213.38,0.94
225,NCR_M67436,Lajpat Nagar,1,423.7,0.95
181,NCR_M56887,Noida Sector 18,1,423.9,0.9
196,NCR_M66804,Dwarka,1,501.12,0.96
64,NCR_M31552,Gurgaon CyberHub,1,384.72,0.84
158,NCR_M11395,Saket,1,579.82,1.06
70,NCR_M69093,Noida Sector 18,1,208.28,0.82
161,NCR_M3891,Gurgaon CyberHub,1,449.28,1.28
169,NCR_M41607,Saket,1,151.59,0.93
71,NCR_M96277,Noida Sector 18,1,264.33,0.89
177,NCR_M80039,Lajpat Nagar,1,591.7,1.22
275,NCR_M87314,Faridabad,1,274.73,0.83
235,NCR_M10628,Saket,1,97.79,1.27
278,NCR_M8793,Rohini,1,617.46,1.23
184,NCR_M73970,Rohini,1,387.09,0.99
198,NCR_M43002,Noida Sector 18,1,515.28,1.13
