order_id,has_customization,special_instructions,nlp_penalty_sec,packaging_overhead_sec,item_complexity_base_sec,complexity_delta_sec
16,False,,0,0,5,0
9,False,,0,0,5,0
7,False,,0,0,5,0
19,True,"Make it extra spicy | Separate dal and rice, extra papad, no pickle",45,0,5,50
33,True,Need extra tissue and cutlery,10,0,5,15
13,False,,0,0,5,0
4,False,,0,0,5,0
50,True,Add extra green chilli,10,0,5,15
110,True,Charred tandoori finish | Medium spice level,27,0,5,32
31,True,No spice at all please | Make it extra spicy,35,0,5,40
56,True,Need extra tissue and cutlery,10,0,5,15
34,False,,0,0,5,0
171,False,,0,0,5,0
89,True,Make it extra spicy,15,0,5,20
68,True,Sugar free dessert | Use only mustard oil,25,0,5,30
104,True,Extra chutney packets please | Need extra tissue and cutlery,18,0,5,23
36,False,,0,0,5,0
178,True,Double wrap the paratha,15,0,5,20
44,True,"Make it extra spicy | Half portion butter chicken, double naan, raita side",42,0,5,47
48,True,Sugar free dessert | Extra chutney packets please,23,0,5,28
119,True,Jain preparation no onion no garlic,60,0,5,65
98,False,,0,0,5,0
120,True,"Half portion butter chicken, double naan, raita side",27,0,5,32
194,False,,0,0,5,0
59,False,,0,0,5,0
210,True,Medium spice level,12,0,5,17
142,False,,0,0,5,0
152,True,Extra raita on the side,12,0,5,17
222,False,,0,0,5,0
163,True,No MSG please | Double wrap the paratha,23,0,5,28
168,False,,0,0,5,0
62,True,"Separate dal and rice, extra papad, no pickle | Make the tikka well done",55,0,5,60
63,True,Add paneer tikka as extra,30,0,5,35
180,True,Extra cheese on top,18,0,5,23
225,False,,0,0,5,0
181,True,No MSG please | Extra raita on the side,20,0,5,25
196,False,,0,0,5,0
64,True,Sugar free dessert | Medium spice level,27,0,5,32
158,False,,0,0,5,0
70,False,,0,0,5,0
161,True,Need extra tissue and cutlery,10,0,5,15
169,True,Medium spice level | Need extra tissue and cutlery,22,0,5,27
71,False,,0,0,5,0
177,False,,0,0,5,0
275,False,,0,0,5,0
235,False,,0,0,5,0
278,True,Add paneer tikka as extra | Double wrap the paratha | Make the tikka well done,70,0,5,75
184,False,,0,0,5,0
198,True,Extra raita on the side | Separate packaging for each item,32,0,5,37
259,True,Pack roti and curry separately,20,0,5,25
266,True,Sugar free dessert | Gluten free preparation,35,0,5,40
83,False,,0,0,5,0
217,True,No MSG please | Use only mustard oil,18,0,5,23
224,True,"Separate dal and rice, extra papad, no pickle",30,0,5,35
249,True,Make the tikka well done,25,0,5,30
87,True,Use only mustard oil,10,0,5,15
281,False,,0,0,5,0
96,False,,0,0,5,0
111,True,Need extra tissue and cutlery | Gluten free preparation,30,0,5,35
306,True,"Half portion butter chicken, double naan, raita side",27,0,5,32
335,False,,0,0,5,0
304,False,,0,0,5,0
319,False,,0,0,5,0
276,True,Need extra tissue and cutlery | No spice at all please,30,0,5,35
321,False,,0,0,5,0
113,False,,0,0,5,0
318,False,,0,0,5,0
118,False,,0,0,5,0
372,True,Add paneer tikka as extra | Double wrap the paratha,45,0,5,50
337,True,Do not overcook the biryani rice,12,0,5,17
338,True,Add extra butter on naan | Pack roti and curry separately | Use only mustard oil,40,0,5,45
349,False,,0,0,5,0
366,False,,0,0,5,0
140,True,Use only mustard oil,10,0,5,15
413,False,,0,0,5,0
382,False,,0,0,5,0
143,False,,0,0,5,0
383,False,,0,0,5,0
427,False,,0,0,5,0
386,False,,0,0,5,0
146,False,,0,0,5,0
401,True,Double wrap the paratha,15,0,5,20
153,True,"Separate dal and rice, extra papad, no pickle",30,0,5,35
460,False,,0,0,5,0
157,False,,0,0,5,0
488,True,"Double wrap the paratha | Separate dal and rice, extra papad, no pickle",45,0,5,50
154,False,,0,0,5,0
406,True,Do not overcook the biryani rice | Add paneer tikka as extra,42,0,5,47
493,True,Jain preparation no onion no garlic,60,0,5,65
495,True,Medium spice level,12,0,5,17
463,True,Add extra green chilli | Jain preparation no onion no garlic,70,0,5,75
159,False,,0,0,5,0
515,True,"Make everything mild spice, pack sauces separate | Gluten free preparation",74,0,5,79
165,True,Medium spice level,12,0,5,17
524,True,No MSG please,8,0,5,13
473,False,,0,0,5,0
474,True,Steam instead of fry | Double wrap the paratha | Charred tandoori finish,50,0,5,55
542,True,"Make it extra spicy | Gluten free preparation | Separate dal and rice, extra papad, no pickle",65,0,5,70
448,True,Charred tandoori finish,15,0,5,20
564,True,"Half portion butter chicken, double naan, raita side | Use only mustard oil",37,0,5,42
567,True,Extra cheese on top,18,0,5,23
182,True,Make the tikka well done,25,0,5,30
520,True,"Separate dal and rice, extra papad, no pickle",30,0,5,35
186,False,,0,0,5,0
507,True,"Double wrap the paratha | Steam instead of fry | Half portion butter chicken, double naan, raita side",62,0,5,67
490,True,Add extra green chilli,10,0,5,15
548,True,Extra cheese on top | Use only mustard oil | Steam instead of fry,48,0,5,53
511,True,Jain preparation no onion no garlic | Extra raita on the side,72,0,5,77
521,False,,0,0,5,0
622,False,,0,0,5,0
627,False,,0,0,5,0
574,True,"Charred tandoori finish | Half portion butter chicken, double naan, raita side",42,0,5,47
661,True,Make it extra spicy | No MSG please | Add extra butter on naan,33,0,5,38
581,True,Add extra green chilli,10,0,5,15
223,False,,0,0,5,0
228,True,"Make everything mild spice, pack sauces separate | Extra cheese on top | Need extra tissue and cutlery",82,0,5,87
229,False,,0,0,5,0
710,True,Do not overcook the biryani rice,12,0,5,17
230,True,"Medium spice level | Separate dal and rice, extra papad, no pickle | Less oil in preparation",52,0,5,57
742,False,,0,0,5,0
239,True,"Half portion butter chicken, double naan, raita side | Charred tandoori finish",42,0,5,47
242,True,Jain preparation no onion no garlic | Gluten free preparation,80,0,5,85
254,False,,0,0,5,0
245,False,,0,0,5,0
677,True,Charred tandoori finish,15,0,5,20
680,True,Steam instead of fry,20,0,5,25
260,False,,0,0,5,0
268,True,Extra chutney packets please | Pack roti and curry separately | Charred tandoori finish,43,0,5,48
818,False,,0,0,5,0
672,False,,0,0,5,0
725,True,Sugar free dessert | Pack roti and curry separately,35,0,5,40
678,False,,0,0,5,0
679,True,Add paneer tikka as extra | Gluten free preparation,50,0,5,55
282,True,Make the tikka well done | Steam instead of fry,45,0,5,50
289,True,Need extra tissue and cutlery,10,0,5,15
287,True,Add extra butter on naan,10,0,5,15
761,False,,0,0,5,0
765,False,,0,0,5,0
698,False,,0,0,5,0
295,False,,0,0,5,0
867,False,,0,0,5,0
773,True,Charred tandoori finish,15,0,5,20
717,False,,0,0,5,0
298,False,,0,0,5,0
301,False,,0,0,5,0
299,True,Need extra tissue and cutlery,10,0,5,15
923,True,Sugar free dessert,15,0,5,20
749,True,Need extra tissue and cutlery | Medium spice level,22,0,5,27
843,True,Add extra butter on naan | Medium spice level | Steam instead of fry,42,0,5,47
314,False,,0,0,5,0
317,False,,0,0,5,0
750,False,,0,0,5,0
955,False,,0,0,5,0
768,False,,0,0,5,0
333,True,Gluten free preparation,20,0,5,25
988,True,Charred tandoori finish,15,0,5,20
339,True,Do not overcook the biryani rice,12,0,5,17
887,True,"Need extra tissue and cutlery | Make everything mild spice, pack sauces separate",64,0,5,69
334,False,,0,0,5,0
900,False,,0,0,5,0
994,True,Extra chutney packets please,8,0,5,13
788,True,Add extra green chilli,10,0,5,15
904,True,Extra raita on the side | Extra chutney packets please,20,0,5,25
1017,False,,0,0,5,0
351,False,,0,0,5,0
353,False,,0,0,5,0
347,True,"Separate dal and rice, extra papad, no pickle",30,0,5,35
936,False,,0,0,5,0
953,False,,0,0,5,0
822,True,Use only mustard oil,10,0,5,15
1045,False,,0,0,5,0
1063,True,Add extra green chilli | No spice at all please | Add paneer tikka as extra,60,0,5,65
847,False,,0,0,5,0
388,True,"Make everything mild spice, pack sauces separate | Add extra green chilli",64,0,5,69
1080,True,Pack roti and curry separately,20,0,5,25
393,True,Jain preparation no onion no garlic,60,0,5,65
1002,True,Double wrap the paratha,15,0,5,20
391,False,,0,0,5,0
1104,True,Medium spice level,12,0,5,17
872,False,,0,0,5,0
1107,True,Charred tandoori finish,15,0,5,20
877,False,,0,0,5,0
403,True,Use only mustard oil,10,0,5,15
414,False,,0,0,5,0
880,False,,0,0,5,0
422,False,,0,0,5,0
