order_id,weather,traffic_index,rider_density,zone,hour_of_day,weather_friction,traffic_friction,rider_density_friction,zone_congestion,hour_friction,ambient_friction_multiplier
16,Clear,0.75,Medium,Connaught Place,11,1.0073,1.125,1.0,1.2,1.08,1.453
9,Rain,0.65,High,Connaught Place,20,1.125,1.095,0.95,1.2,1.22,1.6481
7,Rain,0.66,High,Saket,16,1.1428,1.098,0.95,1.08,1.04,1.3743
19,Rain,0.5,Medium,Saket,14,1.1401,1.05,1.0,1.08,1.12,1.4407
33,Fog,0.66,Low,Noida Sector 18,11,1.1742,1.098,1.12,1.1,1.08,1.7721
13,Smog,0.98,High,Noida Sector 18,22,1.1655,1.248,0.95,1.1,1.1,1.7086
4,Clear,0.43,High,Lajpat Nagar,21,1.0089,1.043,0.95,1.18,1.2,1.3924
50,Clear,0.91,High,Noida Sector 18,10,0.9546,1.206,0.95,1.1,1.06,1.276
110,Rain,0.74,Medium,Dwarka,22,1.1627,1.122,1.0,1.05,1.1,1.5369
31,Heatwave,0.73,Low,Dwarka,17,1.0653,1.119,1.12,1.05,1.06,1.5168
56,Clear,0.57,High,Faridabad,13,1.02,1.071,0.95,1.04,1.18,1.3036
34,Heatwave,0.91,Low,Gurgaon CyberHub,14,1.0563,1.206,1.12,1.15,1.12,1.8631
171,Clear,0.6,Medium,Gurgaon CyberHub,22,0.9581,1.08,1.0,1.15,1.1,1.2995
89,Clear,0.56,High,Noida Sector 18,15,1.0075,1.068,0.95,1.1,1.05,1.2249
68,Clear,0.46,Low,Rohini,19,0.9921,1.046,1.12,1.06,1.18,1.423
104,Heatwave,0.91,High,Lajpat Nagar,8,1.0566,1.206,0.95,1.18,1.04,1.4331
36,Clear,0.38,Low,Lajpat Nagar,15,0.9986,1.038,1.12,1.18,1.05,1.4111
178,Clear,0.52,High,Saket,19,1.016,1.056,0.95,1.08,1.18,1.2646
44,Fog,0.68,Medium,Gurgaon CyberHub,11,1.2014,1.104,1.0,1.15,1.08,1.621
48,Smog,0.67,High,Noida Sector 18,15,1.169,1.101,0.95,1.1,1.05,1.4179
119,Fog,0.36,High,Lajpat Nagar,18,1.221,1.036,0.95,1.18,1.1,1.6231
