order_id,merchant_id,zone,weather,traffic_index,rider_density,hour_of_day,structural_minimum_time_sec,complexity_delta_sec,ambient_friction_multiplier,merchant_marked_ready_sec,trust_weight,is_anomaly,raw_kpt_sec,kpt_floor_sec,kpt_ceiling_sec,buffer_sec,final_predicted_kpt_sec,final_predicted_kpt_min
16,NCR_M15796,Connaught Place,Clear,0.75,Medium,11,522.16,0,1.453,579.2,1.0,False,629.41,602.35,668.23,7.0,636.41,10.61
9,NCR_M861,Connaught Place,Rain,0.65,High,20,434.31,0,1.6481,396.85,0.75,False,566.25,531.33,590.59,8.85,575.1,9.59
7,NCR_M76821,Saket,Rain,0.66,High,16,510.84,0,1.3743,520.2,1.0,False,598.86,586.28,657.75,36.85,635.71,10.6
19,NCR_M54887,Saket,Rain,0.5,Medium,14,274.17,50,1.4407,326.14,1.0,False,389.1,373.92,415.69,13.92,403.02,6.72
33,NCR_M6266,Noida Sector 18,Fog,0.66,Low,11,318.23,15,1.7721,360.71,1.0,False,443.6,430.73,481.3,22.57,466.17,7.77
13,NCR_M82387,Noida Sector 18,Smog,0.98,High,22,285.64,0,1.7086,343.83,1.0,False,373.37,338.52,382.33,34.02,407.39,6.79
4,NCR_M37195,Lajpat Nagar,Clear,0.43,High,21,351.75,0,1.3924,295.59,0.75,False,422.1,383.41,432.65,31.62,453.72,7.56
50,NCR_M87499,Noida Sector 18,Clear,0.91,High,10,177.1,15,1.276,188.1,1.0,False,217.0,208.32,231.46,10.0,227.0,3.78
110,NCR_M44132,Dwarka,Rain,0.74,Medium,22,557.76,32,1.5369,589.25,1.0,False,731.14,703.35,782.32,15.18,746.32,12.44
31,NCR_M60264,Dwarka,Heatwave,0.73,Low,17,132.44,40,1.5168,149.91,1.0,False,212.37,193.61,218.11,25.72,238.09,3.97
56,NCR_M16024,Faridabad,Clear,0.57,High,13,473.6,15,1.3036,481.97,1.0,False,557.86,545.59,611.79,36.8,594.66,9.91
34,NCR_M41091,Gurgaon CyberHub,Heatwave,0.91,Low,14,298.48,0,1.8631,320.46,1.0,False,407.41,374.82,420.45,21.74,429.15,7.15
171,NCR_M67222,Gurgaon CyberHub,Clear,0.6,Medium,22,533.92,0,1.2995,581.03,1.0,False,608.65,572.13,635.43,6.9,615.55,10.26
